,ID,POZO,E_Brent,VPN_incremental_porta,VPN_Total_porta,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
105,105,CA133,45,108.7185,108.7185,108.7185,108.7185,0.5895323827732574,350,0,68.1179,0.0,0.03066441337026294,0.03066441337026294,0.0,0.03066441337026294,0.03066441337026294,2045.0,2045.0,1.9548,1.9548,10.0442,10.0442,46.99403975542139,333.71190623595726,88.18536566187188,577.6097618376465,0.0,46.99403975542139,333.71190623595726,88.18536566187188,577.6097618376465,0.0
106,106,CA133,50,108.7185,108.7185,181.7284,181.7284,0.9028241480674762,350,0,68.1179,0.0,0.03066441337026294,0.03066441337026294,0.0,0.03066441337026294,0.03066441337026294,2045.0,2045.0,1.9548,1.9548,10.0442,10.0442,46.99403975542139,333.71190623595726,88.18536566187188,577.6097618376465,0.0,46.99403975542139,333.71190623595726,119.81481616323534,682.2492114459159,0.0
107,107,CA133,55,108.7185,108.7185,254.7384,254.7384,1.2161159133616959,350,0,68.1179,0.0,0.03066441337026294,0.03066441337026294,0.0,0.03066441337026294,0.03066441337026294,2045.0,2045.0,1.9548,1.9548,10.0442,10.0442,46.99403975542139,333.71190623595726,88.18536566187188,577.6097618376465,0.0,46.99403975542139,333.71190623595726,151.44426666459873,786.8886610541851,0.0
108,108,CA133,60,108.7185,108.7185,327.7484,327.7484,1.5294076786559156,350,0,68.1179,0.0,0.03066441337026294,0.03066441337026294,0.0,0.03066441337026294,0.03066441337026294,2045.0,2045.0,1.9548,1.9548,10.0442,10.0442,46.99403975542139,333.71190623595726,88.18536566187188,577.6097618376465,0.0,46.99403975542139,333.71190623595726,183.07371716596214,891.5281106624541,0.0
109,109,CA133,65,108.7185,108.7185,400.7584,400.7584,1.8426994439501347,350,0,68.1179,0.0,0.03066441337026294,0.03066441337026294,0.0,0.03066441337026294,0.03066441337026294,2045.0,2045.0,1.9548,1.9548,10.0442,10.0442,46.99403975542139,333.71190623595726,88.18536566187188,577.6097618376465,0.0,46.99403975542139,333.71190623595726,214.70316766732557,996.1675602707238,0.0
110,110,CA133,70,108.7185,108.7185,473.7684,473.7684,2.155991209244355,350,0,68.1179,0.0,0.03066441337026294,0.03066441337026294,0.0,0.03066441337026294,0.03066441337026294,2045.0,2045.0,1.9548,1.9548,10.0442,10.0442,46.99403975542139,333.71190623595726,88.18536566187188,577.6097618376465,0.0,46.99403975542139,333.71190623595726,246.33261816868898,1100.8070098789929,0.0
111,111,CA133,75,108.7185,108.7185,546.7784,546.7784,2.469282974538574,350,0,68.1179,0.0,0.03066441337026294,0.03066441337026294,0.0,0.03066441337026294,0.03066441337026294,2045.0,2045.0,1.9548,1.9548,10.0442,10.0442,46.99403975542139,333.71190623595726,88.18536566187188,577.6097618376465,0.0,46.99403975542139,333.71190623595726,277.9620686700525,1205.4464594872622,0.0
112,112,CAN88,45,2415.945,2415.945,2415.945,2415.945,10.511539796483934,350,0,45.8818,0.0,0.21796288889517432,0.21796288889517432,0.0,0.21796288889517432,0.21796288889517432,2045.0,2045.0,0.1852,0.1852,1.4131,1.4131,28.67495297321982,333.71190623595726,1094.9092433293563,3873.24115123481,0.0,28.67495297321982,333.71190623595726,1094.9092433293563,3873.24115123481,0.0
113,113,CAN88,50,2415.945,2415.945,2905.3429,2905.3429,12.61236051983875,350,0,45.8818,0.0,0.21796288889517432,0.21796288889517432,0.0,0.21796288889517432,0.21796288889517432,2045.0,2045.0,0.1852,0.1852,1.4131,1.4131,28.67495297321982,333.71190623595726,1094.9092433293563,3873.24115123481,0.0,28.67495297321982,333.71190623595726,1307.185477230231,4574.9152728353165,0.0
114,114,CAN88,55,2415.945,2415.945,3394.7408,3394.7408,14.713181243193564,350,0,45.8818,0.0,0.21796288889517432,0.21796288889517432,0.0,0.21796288889517432,0.21796288889517432,2045.0,2045.0,0.1852,0.1852,1.4131,1.4131,28.67495297321982,333.71190623595726,1094.9092433293563,3873.24115123481,0.0,28.67495297321982,333.71190623595726,1519.4617111311056,5276.589394435827,0.0
115,115,CAN88,60,2415.945,2415.945,3884.1387,3884.1387,16.814001966548386,350,0,45.8818,0.0,0.21796288889517432,0.21796288889517432,0.0,0.21796288889517432,0.21796288889517432,2045.0,2045.0,0.1852,0.1852,1.4131,1.4131,28.67495297321982,333.71190623595726,1094.9092433293563,3873.24115123481,0.0,28.67495297321982,333.71190623595726,1731.73794503198,5978.263516036338,0.0
116,116,CAN88,65,2415.945,2415.945,4373.5366,4373.5366,18.914822689903204,350,0,45.8818,0.0,0.21796288889517432,0.21796288889517432,0.0,0.21796288889517432,0.21796288889517432,2045.0,2045.0,0.1852,0.1852,1.4131,1.4131,28.67495297321982,333.71190623595726,1094.9092433293563,3873.24115123481,0.0,28.67495297321982,333.71190623595726,1944.0141789328547,6679.9376376368455,0.0
117,117,CAN88,70,2415.945,2415.945,4862.9345,4862.9345,21.015643413258022,350,0,45.8818,0.0,0.21796288889517432,0.21796288889517432,0.0,0.21796288889517432,0.21796288889517432,2045.0,2045.0,0.1852,0.1852,1.4131,1.4131,28.67495297321982,333.71190623595726,1094.9092433293563,3873.24115123481,0.0,28.67495297321982,333.71190623595726,2156.29041283373,7381.611759237356,0.0
118,118,CAN88,75,2415.945,2415.945,5352.3324,5352.3324,23.116464136612837,350,0,45.8818,0.0,0.21796288889517432,0.21796288889517432,0.0,0.21796288889517432,0.21796288889517432,2045.0,2045.0,0.1852,0.1852,1.4131,1.4131,28.67495297321982,333.71190623595726,1094.9092433293563,3873.24115123481,0.0,28.67495297321982,333.71190623595726,2368.5666467346036,8083.285880837865,0.0
119,119,CAN372,45,2344.3734,2344.3734,2344.3734,2344.3734,10.199748310183049,350,0,104.3083,0.0,0.21565010087573283,0.21565010087573283,0.0,0.21565010087573283,0.21565010087573283,2045.0,2045.0,0.4256,0.4256,1.4282,1.4282,65.93858980245092,333.71190623595726,1062.3425203750078,3806.366431639545,0.0,65.93858980245092,333.71190623595726,1062.3425203750078,3806.366431639545,0.0
120,120,CAN372,50,2344.3734,2344.3734,2825.6198,2825.6198,12.264296622059048,350,0,104.3083,0.0,0.21565010087573283,0.21565010087573283,0.0,0.21565010087573283,0.21565010087573283,2045.0,2045.0,0.4256,0.4256,1.4282,1.4282,65.93858980245092,333.71190623595726,1062.3425203750078,3806.366431639545,0.0,65.93858980245092,333.71190623595726,1270.6552355914444,4495.925567806131,0.0
